Druh,Popis_druhu,Ctverec,Lokalita,Lokalita_short,Text,Datum,Pocet,Substrat,Lat,Lon,Zpusob,Autor,Poznamka
Odonteus armiger,"Scopoli, 1772",6062,Džbánov,Džbánov,"Džbánov (49°55.277'N 16°09.005'E), les Hájek, listnatá část, 325 m n. m., 25.7.2020, 10-15 ex., na UV, 25-20°C, 20:30-21:30, M. Boukal observ.",2020-07-25,15 ex.,NA,NA,NA,observ.,NA,NA
Odonteus armiger,"Scopoli, 1772",6060,"Chrudim, u domu čp. ",Chrudim,"Chrudim, u domu čp. 1410, 31.7.-2.8.2020, 1 ♀, světelná UV past, V. Hron leg., det. et coll.; dtto, 28.-30.8.2020, 1 ♀.",2020-08-02,1 ♀,světelná UV past,NA,NA,"leg., det. et coll.",V. Hron,NA
Odonteus armiger,"Scopoli, 1772",6366,"Vrážné, Vraženský důl, Bouda",Vrážné,"Vrážné, Vraženský důl, Bouda (49.6827008N, 16.7911683E), 20.5.-20.9.2000, více ex., po dešti, V. Jiříček observ. Nové čtverce: 6062 a 6366. Geotrupinae Latreille, 1802 Geotrupini Latreille, 1802 Anoplotrupes Jekel, 1866 Anoplotrupes stercorosus (Scriba, 1791)",2000-09-20,NA,NA,49.6827008,16.7911683,observ.,V. Jiříček,NA
Anoplotrupes stercorosus,"Scriba, 1791",5259,"Vítkovice, Krkonoše, prameny Velké Mumlavy",Vítkovice,"Vítkovice, Krkonoše, prameny Velké Mumlavy (50.7572631N, 15.5319469E), 23.6.2020, 1 ex., Cervus, J. Mertlik observ.",2020-06-23,1 ex.,Cervus,50.7572631,15.5319469,observ.,J. Mertlik,NA
Anoplotrupes stercorosus,"Scriba, 1791",5259,"Vítkovice, Krkonoše, Harrachova louka – pramenná oblast Velké Mumlavy",Vítkovice,"Vítkovice, Krkonoše, Harrachova louka – pramenná oblast Velké Mumlavy (50.7555458N, 15.5393711E – 50.7572631N, 15.5318933E), 8.8.2020, 2 ex., Cervus, J. Mertlik observ.",2020-08-08,2 ex.,Cervus,50.7555458,15.5393711,observ.,J. Mertlik,NA
Anoplotrupes stercorosus,"Scriba, 1791",5259,"Špindlerův Mlýn, Krkonoše, Špindlerovka, pastviny u Lužické     boudy      ",Špindlerův Mlýn,"Špindlerův Mlýn, Krkonoše, Špindlerovka, pastviny u Lužické     boudy       (50.7587611N,   15.6317183E), 16.9.2020, 1 ex., Bos, J. Mertlik observ.",2020-09-16,1 ex.,NA,50.7587611,15.6317183,observ.,J. Mertlik,NA
Anoplotrupes stercorosus,"Scriba, 1791",5259,"Špindlerův Mlýn, Krkonoše, vrch Mechovinec – Černá Skála",Špindlerův Mlýn,"Špindlerův Mlýn, Krkonoše, vrch Mechovinec – Černá Skála (50.7244158N, 15.5671594E – 50.7098247N, 15.5626533E), 25.7.2020, 4 ex., Equus, J. Mertlik observ.",2020-07-25,4 ex.,Equus,50.7244158,15.5671594,observ.,J. Mertlik,NA
Anoplotrupes stercorosus,"Scriba, 1791",5260,"Špindlerův Mlýn, Krkonoše, Luční hora",Špindlerův Mlýn,"Špindlerův Mlýn, Krkonoše, Luční hora (50.7293394N, 15.6769533E), 16.6.2020, 1 ex., Cervus, J. Mertlik observ; dtto, (50.7313647N, 15.6782264E), 21.8.2020, 1 ex.",2020-06-16,1 ex.,Cervus,50.7293394,15.6769533,observ.,J. Mertlik,NA
Anoplotrupes stercorosus,"Scriba, 1791",5260,"Špindlerův Mlýn, Krkonoše, Stříbrný hřbet – Stříbrné návrší",Špindlerův Mlýn,"Špindlerův Mlýn, Krkonoše, Stříbrný hřbet – Stříbrné návrší (50.7521064N, 15.6835092E), 16.9.2020, 1 ex., Cervus, J. Mertlik observ.",2020-09-16,1 ex.,Cervus,50.7521064,15.6835092,observ.,J. Mertlik,NA
Anoplotrupes stercorosus,"Scriba, 1791",5260,"Pec pod Sněžkou, Růžohorky, pastviny u Děčínské boudy",Pec pod Sněžkou,"Pec pod Sněžkou, Růžohorky, pastviny u Děčínské boudy (50.7100000N, 15.7493314E), 16.9.2020, 5 ex., Bos, J. Mertlik observ.",2020-09-16,5 ex.,NA,50.71,15.7493314,observ.,J. Mertlik,NA
Anoplotrupes stercorosus,"Scriba, 1791",5359,"Špindlerův Mlýn, Krkonoše, vrch Šeřín – Rovinka",Špindlerův Mlýn,"Špindlerův Mlýn, Krkonoše, vrch Šeřín – Rovinka (50.6884083N, 15.5643539E), 25.7.2020, více ex., Equus, J. Mertlik observ.",2020-07-25,NA,Equus,50.6884083,15.5643539,observ.,J. Mertlik,NA
Anoplotrupes stercorosus,"Scriba, 1791",5562,"Česká Skalice, Babiččino údolí, Bažantnice, ",Česká Skalice,"Česká Skalice, Babiččino údolí, Bažantnice, 19.6.2005, více imag, na lesní cestě, M. Mikát observ. (Mikát 2007).",2005-06-19,NA,NA,NA,NA,observ.,M. Mikát,NA
Anoplotrupes stercorosus,"Scriba, 1791",5557,"Holín, Pařezská Lhota, pastvina",Holín,"Holín, Pařezská Lhota, pastvina (50.4745150N, 15.2871892E), 21.10.2020, více ex., Equus, J. Mertlik observ.",2020-10-21,NA,Equus,50.474515,15.2871892,observ.,J. Mertlik,pastvina (50.4745150N
