PORADI;ID_NALEZ;DRUH;CESKE_JMENO;KAT_TAX;AUTOR;DATUM_OD;DATUM_DO;CAS;ID_LOKAL;NAZ_LOKAL;SITMAP;KATASTR;X;Y;ZDROJ;NEGATIV;POCET;ODHAD;POCITANO;REL_POC;POKRYVN;PATROVITOST;FENOFAZE;KODHN;ETOLOGIE;KOMPLETNI_SEZNAM;POZNAMKA;UMIST_NAL;POP_BIOT;TAX_POZN;PROJEKT;DAT_SADA;ZAPSAL;VEROH;VALIDACE;VAL_POZN;GARANCE;GAR_POZN;VYHLASKA;EVD;REDLIST;STRUKT_POZN;CXLOKAL_POZN;CXLOKAL_Z;CXPRESNOST;DATI_INSERT;DATI_UPDATE;UPDATOR
11;13731206;Euoniticellus fulvus;;Brouci;Konvièka Ondøej;20110507;20110507;;1753052;Bzenec;7069;Bzenec;-551771;-1191134;KONVIÈKA O. (2011) Terénní záznamy.;0;;0;;vzácnì;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Konvièka Ondøej;1;;;Garantováno;;;;VU;;;181;130;20110509
12;33678384;Euoniticellus fulvus;;Brouci;Lošák Miloš;20040806;20040806;;4991920;Bzenec - Pøívoz;7069;Bzenec;-551571;-1194452;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;1;0;jedinci;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;1;;;Garantováno;;;;VU;;railway station;193;30;20140917
13;33656150;Euoniticellus fulvus;;Brouci;Stejskal R.;20090712;20090712;;5473907;Bítovánky;6860;Bítovánky;-665041.62;-1157447.56;PEØINKOVÁ P., FISCHER O. A. (2010) Euoniticellus fulvus (Goeze, 1777) (Coleoptera: Scarabaeidae) in south-western Moravia (Czech Republic). Acta Musei Moraviae, Scientiae biologicae (Brno) 95(2). s. 25-28.;0;;0;;;;;;;;0;1 samec;koòskı trus;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;ISOP Admin;1;;;Garantováno;;;;VU;;;;1455;20140826
14;33656151;Euoniticellus fulvus;;Brouci;Køivan Václav;20090719;20090719;;5473907;Bítovánky;6860;Bítovánky;-665041.62;-1157447.56;PEØINKOVÁ P., FISCHER O. A. (2010) Euoniticellus fulvus (Goeze, 1777) (Coleoptera: Scarabaeidae) in south-western Moravia (Czech Republic). Acta Musei Moraviae, Scientiae biologicae (Brno) 95(2). s. 25-28.;0;;0;;;;;;;;0;1 samec;koòskı trus;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;ISOP Admin;1;;;Garantováno;;;;VU;;;;1455;20140826
15;33678382;Euoniticellus fulvus;;Brouci;Brabec Milan;20040504;20040504;;5392768;Bøeclav;7267;Bøeclav;-581738;-1212112;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;1;0;jedinci;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;1;;;Garantováno;;;;VU;;;;3000;20140917;20140917;90
16;33678383;Euoniticellus fulvus;;Brouci;Prùša Milan;20040502;20040502;;5372392;Bøeclav env., Pohansko;7267;Bøeclav;-582498;-1215131;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;3;0;jedinci;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;1;;;Garantováno;;;;VU;;nadm. v. cca 155 m;155;250;20140917
17;39187346;Euoniticellus fulvus;;Brouci;Konvièka Ondøej;20160315;20161115;;6050894;Charvátská Nová Ves;7266;Charvátská Nová Ves;-588742.62;-1208607.35;KONVIÈKA O. (2016) Hledání nezvìstnıch druhù broukù.;0;;0;jedinci;roztroušenì;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Konvièka Ondøej;1;;;Garantováno;;;;VU;;;;0;20161119
18;33658004;Euoniticellus fulvus;;Brouci;Peøinková Pavlína;20091022;20091022;;5473980;Dešná-Plaèkovice2;7059;Plaèovice;-678299.99;-1177414;PEØINKOVÁ P., FISCHER O. A. (2010) Euoniticellus fulvus (Goeze, 1777) (Coleoptera: Scarabaeidae) in south-western Moravia (Czech Republic). Acta Musei Moraviae, Scientiae biologicae (Brno) 95(2). s. 25-28.;0;;0;;;;;;;;0;1 samice;koòskı trus;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;ISOP Admin;1;;;Garantováno;;;;VU;;;;1;20140826
19;44356330;Euoniticellus fulvus;;Brouci;Dedek Pavel;20180503;20180503;;6522238;Dolní mušlovskı rybník;7266;Mikulov na Moravì;-597529.23;-1205583.76;DEDEK P. (2018) Terénní zápisky - náhodná pozorování.;0;;0;;;;;;;;0;v koòském trusu;;;;Mobilní sbìr dat;ND - Databáze BioLog;Dedek Pavel;1;;;Garantováno;;;;VU;;;;10;20180504;20180503;1671
20;11469836;Euoniticellus fulvus;;Brouci;Køivan Václav;20080101;20081231;;1218421;EVL Jeèmeništì;7262;Jeèmeništì;-637914;-1205801;KØIVAN V. (2008) Závìreèná zpráva k provedenému entomologickému prùzkumu na EVL CZ0620162 - Jeèmeništì. NATURA 2000 Implementace v Jihomoravském kraji 1.etapa REALIZACE PRÙZKUMÙ A INVETARIZACÍ.;0;;0;;ojedinìle;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Husták Josef;1;;;Garantováno;;;;VU;;_;231;1525;20090813
21;33677583;Euoniticellus fulvus;;Brouci;Pokornı -;19670501;19670531;;5384460;Františkovy Láznì;5840;Františkovy Láznì;-888086;-1017375;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;3;0;jedinci;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;1;;;Garantováno;;;;VU;;;;1961;20140915;20140915;90
22;61677941;Euoniticellus fulvus;;Brouci;Èíek Oldøich;20190621;20190621;;10780041;Havranické vøesovištì;7161;Havraníky;-647714.38;-1198558.06;Beleco (2022) Military LIFE for Nature – Zlepšení podmínek pro evropsky vıznamné druhy a typy pøírodních stanoviš v opuštìnıch vojenskıch prostorech (LIFE15 NAT/CZ/001028).;0;;0;;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Data z projektu: LIFE15 NAT/CZ/001028;Marhoul Pavel;0;;;;;;;VU;;;;1;20250212
23;55952041;Euoniticellus fulvus;;Brouci;Trnka Filip;20220620;20220620;;9236057;Havranické vøesovištì;7161;Havraníky;-647136.24;-1197773.55;TRNKA F. (2022) Entomologickı prùzkum broukù (Coleoptera) vybranıch lokalit NP Podyjí.;0;1;0;jedinci;;;;;;;0;ruèní sbìr;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù broukù;Raèanskı Zdenìk;0;;;;;;;VU;;;;1;20230503
24;55952072;Euoniticellus fulvus;;Brouci;Trnka Filip;20220919;20220919;;9236058;Havranické vøesovištì;7162;Havraníky;-646627.47;-1197717.77;TRNKA F. (2022) Entomologickı prùzkum broukù (Coleoptera) vybranıch lokalit NP Podyjí.;0;1;0;jedinci;;;;;;;0;ruèní sbìr koòskı trus;;;;Sbìr floristickıch a faunistickıch nálezù;Importy nálezù broukù;Raèanskı Zdenìk;0;;;;;;;VU;;;;1;20230503
25;63141074;Euoniticellus fulvus;;Brouci;Kraus Zdenìk;20230924;20230924;;11100631;Havraníky;7161;Havraníky;-647312.7;-1198028.83;Kraus Z. (2024) Zjištìní druhové diverzity s primárním zamìøením na ekologicky vıznamnou skupinu saproxylickıch broukù (Coleoptera) v NP Podyjí.;0;1;0;jedinci;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Monitoring a mapování vybranıch druhù;Jeøábková Lenka;1;;;Garantováno;;;;VU;;;;1;20250327
26;49959791;Euoniticellus fulvus;;Brouci;Vávra Jiøí;20180703;20180703;;7606187;Havraníky;7161;Havraníky;-647160.16;-1198158.02;VÁVRA J. (2019) Zpráva z vızkumu broukù (Coleoptera) v NP Podyjí za rok 2019.;0;2;0;jedinci;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Data z mapování NP Podyjí;Maèát Zdenìk;0;;;;;;;VU;;;;1;20201016
27;33678147;Euoniticellus fulvus;;Brouci;Škorpík Martin;20070618;20070618;;5392795;Havraníky;7162;Havraníky;-646412;-1198278;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;2;0;jedinci;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;1;;;Garantováno;;;;VU;;;;3000;20140916
28;33678148;Euoniticellus fulvus;;Brouci;Škorpík Martin;20070813;20070813;;5392795;Havraníky;7162;Havraníky;-646412;-1198278;JUØENA D., TİR V., BEZDÌK A. (2008) Pøíspìvek k faunistickému vızkumu listorohıch broukù (Coleoptera: Scarabaeoidea) na území Èeské republiky a Slovenska. Klapalekiana. 44, Supplementum. 17-176.;0;1;0;jedinci;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Škapec Ludvík;1;;;Garantováno;;;;VU;;;;3000;20140916
29;59544011;Euoniticellus fulvus;;Brouci;Chybík Josef, Tomèík Jiøí, Bezdìk Aleš, Bezdìk Jan, Hrùzová Lucie, Kubáò Vítìzslav, Martinyová Adriana, Ryšánek Jaroslav, Sehnal Richard, Souèek Martin, Sıkora Karel, Škorpík Martin;20240720;20240720;;10111824;Havraníky - Havranické vøesovištì;7161;Havraníky;-647416.09;-1198322.43;Sekce pro vızkum vrubounovitıch broukù, Èeská spoleènost entomologická (2024) Vısledky vıjezdního zasedání Sekce.;0;;0;jedinci;;;;;;;0;Josef Chybík lgt.;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Hrùzová Lucie;0;vìrohodnı záznam;;Návrh validace;;;;VU;;;;521;20240809
30;65344179;Euoniticellus fulvus;;Brouci;Havlíèek J.;19030608;19030608;;1027413;Hluboká nad Vltavou;6952;Hluboká nad Vltavou;-757022;-1154822;KLETEÈKA, Z., KØIVAN, V. (1999) Vıskyt Caccobius schreberi a Euoniticellus fulvus (Coleoptera, Scarabaeidae, Coprinae) v jiních Èechách. Sborník Jihoèeského muzea v Èeskıch Budìjovicích Pøírodní vìdy. 39. 95.;0;2;0;jedinci;;;;;;;0;bez data;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Gaigr Jonáš;0;;;;;;;VU;;;441;5354;20251020
31;65344180;Euoniticellus fulvus;;Brouci;Havlíèek J.;19010617;19010617;;1027413;Hluboká nad Vltavou;6952;Hluboká nad Vltavou;-757022;-1154822;KLETEÈKA, Z., KØIVAN, V. (1999) Vıskyt Caccobius schreberi a Euoniticellus fulvus (Coleoptera, Scarabaeidae, Coprinae) v jiních Èechách. Sborník Jihoèeského muzea v Èeskıch Budìjovicích Pøírodní vìdy. 39. 95.;0;1;0;jedinci;;;;;;;0;bez data;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Gaigr Jonáš;0;;;;;;;VU;;;441;5354;20251020
32;33656169;Euoniticellus fulvus;;Brouci;Fischer O.A.;20090822;20090822;;5473923;Horní Louèky;6664;Horní Louèky;-615735.9;-1138910.54;PEØINKOVÁ P., FISCHER O. A. (2010) Euoniticellus fulvus (Goeze, 1777) (Coleoptera: Scarabaeidae) in south-western Moravia (Czech Republic). Acta Musei Moraviae, Scientiae biologicae (Brno) 95(2). s. 25-28.;0;;0;;;;;;;;0;1 samec;kravskı trus;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;ISOP Admin;1;;;Garantováno;;;;VU;;;;1443;20140826
33;59502907;Euoniticellus fulvus;;Brouci;Peøinková Pavlína;20190808;20190808;;10093615;Horní Vilémovice;6761;Horní Vilémovice;-648792.16;-1143785.1;Peøinková Pavlína (2019) vlastní pozorování.;0;6;0;jedinci;ojedinìle;;;;;ír;0;pastvina skotu vedle rybníka;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Peøinková Pavlína;0;vìrohodnı záznam;;Návrh validace;;;;VU;;;;47;20240726
34;47755042;Euoniticellus fulvus;;Brouci;Kavka M.;20190422;20190422;;7081850;Horušice;5958;Horušice;-672795.64;-1061753.46;POKORNİ J. (2019) Terenní pozorování.;0;1;0;jedinci;;;;;;;0;;;;;Sbìr floristickıch a faunistickıch nálezù;Nálezová data ochrany pøírody;Bárdyová Mária;0;;;;;;;VU;;;;1;20191113
35;64697643;Euoniticellus fulvus;;Brouci;Gaigr Jonáš, Kušnírová Tereza;20250715;20250715;;12291819;Horšovská obora;6443;Horšov;-859226.45;-1087064.34;GAIGR J. (2025) Terénní zápisky - náhodná pozorování.;0;;0;;;;;;;;0;;;;;Mobilní sbìr dat;ND - Databáze BioLog;Gaigr Jonáš;0;vìrohodnı záznam;;Návrh validace;;;;VU;;;;2;20250803
